address,new_house_no,new_street_no,village_phum,commune_khum,district_srok,new_province
"Prey Damrei, Boeng Bat Kandaol, Bakan, Pursat Province",,,Prey Damrei,Boeng Bat Kandaol,Bakan,Pursat Province
"#NA, St.NA, Souriya, Boeng Daol, Preah Sdach, Prey Veng Province",#NA,St.NA,Souriya,Boeng Daol,Preah Sdach,Prey Veng Province
"St.NA, Boeng Daol, Boeng Daol, Preah Sdach, Prey Veng Province",,St.NA,Boeng Daol,Boeng Daol,Preah Sdach,Prey Veng Province
"St.353, Boeng Kak Ti Muoy, Tuol Kouk, Phnom Penh Capital",,St.353,,Boeng Kak Ti Muoy,Tuol Kouk,Phnom Penh Capital
"Boeng Kak Ti Muoy, Tuol Kouk, Phnom Penh Capital",,,,Boeng Kak Ti Muoy,Tuol Kouk,Phnom Penh Capital
"St.590, Boeng Kak Ti Pir, Tuol Kouk, Phnom Penh Capital",,St.590,,Boeng Kak Ti Pir,Tuol Kouk,Phnom Penh Capital
"St.313, Boeng Kak Ti Pir, Tuol Kouk, Phnom Penh Capital",,St.313,,Boeng Kak Ti Pir,Tuol Kouk,Phnom Penh Capital
"Boeng Kak Ti Pir, Tuol Kouk, Phnom Penh Capital",,,,Boeng Kak Ti Pir,Tuol Kouk,Phnom Penh Capital
"Boeng Keng Kang Ti Bei, Boeng Keng Kang, Phnom Penh Capital",,,,Boeng Keng Kang Ti Bei,Boeng Keng Kang,Phnom Penh Capital
"Boeng Keng Kang Ti Muoy, Boeng Keng Kang, Phnom Penh Capital",,,,Boeng Keng Kang Ti Muoy,Boeng Keng Kang,Phnom Penh Capital
"Prey Damrei, Boeng Khnar, Bakan, Pursat Province",,,Prey Damrei,Boeng Khnar,Bakan,Pursat Province
"Boeng Khnar, Bakan, Pursat Province",,,,Boeng Khnar,Bakan,Pursat Province
"#, St.Lum, Srah Pou, Boeng Khyang, Kandal Stueng, Kandal Province",#,St.Lum,Srah Pou,Boeng Khyang,Kandal Stueng,Kandal Province
"Trapeang Korkos, Boeng Lvea, Santuk, Kampong Thom Province",,,Trapeang Korkos,Boeng Lvea,Santuk,Kampong Thom Province
"Boeng Reang, Doun Penh, Phnom Penh Capital",,,,Boeng Reang,Doun Penh,Phnom Penh Capital
"#NA, St.StNA, Boeng Salang, Tuol Kouk, Phnom Penh Capital",#NA,St.StNA,,Boeng Salang,Tuol Kouk,Phnom Penh Capital
"#95, St.Betong, Boeng Thum, Kamboul, Phnom Penh Capital",#95,St.Betong,,Boeng Thum,Kamboul,Phnom Penh Capital
"#, St., Boeng Tumpun 1, Mean Chey, Phnom Penh Capital",#,St.,,Boeng Tumpun 1,Mean Chey,Phnom Penh Capital
"Chamroeunphal Muoy, Boeng Tumpun 1, Mean Chey, Phnom Penh Capital",,,Chamroeunphal Muoy,Boeng Tumpun 1,Mean Chey,Phnom Penh Capital
"#, St., Boeng Tumpun 2, Mean Chey, Phnom Penh Capital",#,St.,,Boeng Tumpun 2,Mean Chey,Phnom Penh Capital
"Boeng Tumpun 2, Mean Chey, Phnom Penh Capital",,,,Boeng Tumpun 2,Mean Chey,Phnom Penh Capital
"Bos Khnor, Chamkar Leu, Kampong Cham Province",,,,Bos Khnor,Chamkar Leu,Kampong Cham Province
"#NA , St.Betong, Phum Pram, Buon, Preah Sihanouk, Preah Sihanouk Province",#NA ,St.Betong,Phum Pram,Buon,Preah Sihanouk,Preah Sihanouk Province
"#, St., Buon, Preah Sihanouk, Preah Sihanouk Province",#,St.,,Buon,Preah Sihanouk,Preah Sihanouk Province
"Phum Muoy, Buon, Preah Sihanouk, Preah Sihanouk Province",,,Phum Muoy,Buon,Preah Sihanouk,Preah Sihanouk Province
"Buon, Preah Sihanouk, Preah Sihanouk Province",,,,Buon,Preah Sihanouk,Preah Sihanouk Province
"Preaek Ta Long II, Chak Angrae Kraom, Mean Chey, Phnom Penh Capital",,,Preaek Ta Long II,Chak Angrae Kraom,Mean Chey,Phnom Penh Capital
"#57, St.Commercial, Chak Angrae Leu, Mean Chey, Phnom Penh Capital",#57,St.Commercial,,Chak Angrae Leu,Mean Chey,Phnom Penh Capital
"St.National Road Number 02, Ta Nob, Chambak, Bati, Takeo Province",,St.National Road Number 02,Ta Nob,Chambak,Bati,Takeo Province
"#, St., Ou Roka, Chamraeun Phal, Pursat, Pursat Province",#,St.,Ou Roka,Chamraeun Phal,Pursat,Pursat Province
"#, St., Svay Meas, Chamraeun Phal, Pursat, Pursat Province",#,St.,Svay Meas,Chamraeun Phal,Pursat,Pursat Province
"Tuol Kruos, Chamraeun Phal, Pursat, Pursat Province",,,Tuol Kruos,Chamraeun Phal,Pursat,Pursat Province
"Baek Kamphleung, Chan Sa, Soutr Nikom, Siemreap Province",,,Baek Kamphleung,Chan Sa,Soutr Nikom,Siemreap Province
"Chan Saen, Odongk, Kampong Speu Province",,,,Chan Saen,Odongk,Kampong Speu Province
"#, St., Chaom Chau 1, Pur SenChey, Phnom Penh Capital",#,St.,,Chaom Chau 1,Pur SenChey,Phnom Penh Capital
"Trapeang Rumchek, Chaom Chau 1, Pur SenChey, Phnom Penh Capital",,,Trapeang Rumchek,Chaom Chau 1,Pur SenChey,Phnom Penh Capital
"Trapeang Thloeng 4, Chaom Chau 1, Pur SenChey, Phnom Penh Capital",,,Trapeang Thloeng 4,Chaom Chau 1,Pur SenChey,Phnom Penh Capital
"#36E06, St.260CC, Krang Doun Tey, Chaom Chau 2, Pur SenChey, Phnom Penh Capital",#36E06,St.260CC,Krang Doun Tey,Chaom Chau 2,Pur SenChey,Phnom Penh Capital
"#3I, St.BT, Prey Pring Khang Tboung 1, Chaom Chau 2, Pur SenChey, Phnom Penh Capital",#3I,St.BT,Prey Pring Khang Tboung 1,Chaom Chau 2,Pur SenChey,Phnom Penh Capital
"#NA, St.Concrete, Srae Chumrov, Chaom Chau 2, Pur SenChey, Phnom Penh Capital",#NA,St.Concrete,Srae Chumrov,Chaom Chau 2,Pur SenChey,Phnom Penh Capital
"#CC18, Prey Spueu, Chaom Chau 2, Pur SenChey, Phnom Penh Capital",#CC18,,Prey Spueu,Chaom Chau 2,Pur SenChey,Phnom Penh Capital
"#_, St.Lom, Chaom Chau 2, Pur SenChey, Phnom Penh Capital",#_,St.Lom,,Chaom Chau 2,Pur SenChey,Phnom Penh Capital
"#no, St.no, Chaom Chau 2, Pur SenChey, Phnom Penh Capital",#no,St.no,,Chaom Chau 2,Pur SenChey,Phnom Penh Capital
"#NA, St.Concrete, Chaom Chau 2, Pur SenChey, Phnom Penh Capital",#NA,St.Concrete,,Chaom Chau 2,Pur SenChey,Phnom Penh Capital
"Chrey Kaong, Chaom Chau 2, Pur SenChey, Phnom Penh Capital",,,Chrey Kaong,Chaom Chau 2,Pur SenChey,Phnom Penh Capital
"Damnak Trayueng, Chaom Chau 2, Pur SenChey, Phnom Penh Capital",,,Damnak Trayueng,Chaom Chau 2,Pur SenChey,Phnom Penh Capital
"Thma Koul 1, Chaom Chau 2, Pur SenChey, Phnom Penh Capital",,,Thma Koul 1,Chaom Chau 2,Pur SenChey,Phnom Penh Capital
"Chaom Chau 2, Pur SenChey, Phnom Penh Capital",,,,Chaom Chau 2,Pur SenChey,Phnom Penh Capital
"#NA, St.NA, Angk  Kaev, Chaom Chau 3, Pur SenChey, Phnom Penh Capital",#NA,St.NA,Angk  Kaev,Chaom Chau 3,Pur SenChey,Phnom Penh Capital
"#B05, St.Petong, Prey Pring Khang Tboung 2, Chaom Chau 3, Pur SenChey, Phnom Penh Capital",#B05,St.Petong,Prey Pring Khang Tboung 2,Chaom Chau 3,Pur SenChey,Phnom Penh Capital
"#N/A, St.Betong, Prey Tea 1, Chaom Chau 3, Pur SenChey, Phnom Penh Capital",#N/A,St.Betong,Prey Tea 1,Chaom Chau 3,Pur SenChey,Phnom Penh Capital
"#859, St.Betong, Prey Tea 2, Chaom Chau 3, Pur SenChey, Phnom Penh Capital",#859,St.Betong,Prey Tea 2,Chaom Chau 3,Pur SenChey,Phnom Penh Capital
"St.6m, Prey Chi Sak, Chaom Chau 3, Pur SenChey, Phnom Penh Capital",,St.6m,Prey Chi Sak,Chaom Chau 3,Pur SenChey,Phnom Penh Capital
"#NA, St.NA, Chaom Chau 3, Pur SenChey, Phnom Penh Capital",#NA,St.NA,,Chaom Chau 3,Pur SenChey,Phnom Penh Capital
"#, St., Chaom Chau 3, Pur SenChey, Phnom Penh Capital",#,St.,,Chaom Chau 3,Pur SenChey,Phnom Penh Capital
"Trapeang Pou, Chaom Chau 3, Pur SenChey, Phnom Penh Capital",,,Trapeang Pou,Chaom Chau 3,Pur SenChey,Phnom Penh Capital
"#B27, Chaom Chau 3, Pur SenChey, Phnom Penh Capital",#B27,,,Chaom Chau 3,Pur SenChey,Phnom Penh Capital
"Chaom Chau 3, Pur SenChey, Phnom Penh Capital",,,,Chaom Chau 3,Pur SenChey,Phnom Penh Capital
"Char, Char, Prey Kabbas, Takeo Province",,,Char,Char,Prey Kabbas,Takeo Province
"Sla, Char, Prey Kabbas, Takeo Province",,,Sla,Char,Prey Kabbas,Takeo Province
"#NA, St.201, Thnal, Char Chhuk, Angkor Chum, Siemreap Province",#NA,St.201,Thnal,Char Chhuk,Angkor Chum,Siemreap Province
"Deum Slaeng, Chbar Ampov Ti Pir, Chbar Ampov, Phnom Penh Capital",,,Deum Slaeng,Chbar Ampov Ti Pir,Chbar Ampov,Phnom Penh Capital
"Chbar Mon, Chbar Mon, Kampong Speu Province",,,,Chbar Mon,Chbar Mon,Kampong Speu Province
"Bourei Kameakkar, Cheung Aek, Dangkao, Phnom Penh Capital",,,Bourei Kameakkar,Cheung Aek,Dangkao,Phnom Penh Capital
"Preaek Thloeng, Cheung Aek, Dangkao, Phnom Penh Capital",,,Preaek Thloeng,Cheung Aek,Dangkao,Phnom Penh Capital
"Cheung Aek, Dangkao, Phnom Penh Capital",,,,Cheung Aek,Dangkao,Phnom Penh Capital
"#293, St.5, Cheung Kaeub, Kandal Stueng, Kandal Province",#293,St.5,,Cheung Kaeub,Kandal Stueng,Kandal Province
"Cheung Kou, Prey Nob, Preah Sihanouk Province",,,,Cheung Kou,Prey Nob,Preah Sihanouk Province
"Ou Loy, Cheung Kreav, Rolea B'ier, Kampong Chhnang Province",,,Ou Loy,Cheung Kreav,Rolea B'ier,Kampong Chhnang Province
"Anhchanh, Cheung Kuon, Samraong, Takeo Province",,,Anhchanh,Cheung Kuon,Samraong,Takeo Province
"Cheung Phnum, Ba Phnum, Prey Veng Province",,,,Cheung Phnum,Ba Phnum,Prey Veng Province
"Cheung Prey, Cheung Prey, Batheay, Kampong Cham Province",,,Cheung Prey,Cheung Prey,Batheay,Kampong Cham Province
"Lumphat, Chey Otdam, Lumphat, Ratanak Kiri Province",,,Lumphat,Chey Otdam,Lumphat,Ratanak Kiri Province
"Chheu Kach, Chheu Kach, Ba Phnum, Prey Veng Province",,,Chheu Kach,Chheu Kach,Ba Phnum,Prey Veng Province
"Chheu Teal, Kien Svay, Kandal Province",,,,Chheu Teal,Kien Svay,Kandal Province
"Chheu Teal, Chhuk, Chhuk, Kampot Province",,,Chheu Teal,Chhuk,Chhuk,Kampot Province
"Chhuk, Chhuk, Kampot Province",,,,Chhuk,Chhuk,Kampot Province
"Chob Krau, Chob, Tboung Khmum, Tboung Khmum Province",,,Chob Krau,Chob,Tboung Khmum,Tboung Khmum Province
"Chob Ti Pir, Chob, Tboung Khmum, Tboung Khmum Province",,,Chob Ti Pir,Chob,Tboung Khmum,Tboung Khmum Province
"Chob Vari, Preah Netr Preah, Banteay Meanchey Province",,,,Chob Vari,Preah Netr Preah,Banteay Meanchey Province
"St.530, Phkar Sla, Chomkar Somraong, Battambang, Battambang Province",,St.530,Phkar Sla,Chomkar Somraong,Battambang,Battambang Province
"Chong Kal, Chong Kal, Oddar Meanchey Province",,,,Chong Kal,Chong Kal,Oddar Meanchey Province
"Phum Ti Buon, Chong Khnies, Siem Reap, Siemreap Province",,,Phum Ti Buon,Chong Khnies,Siem Reap,Siemreap Province
"Bat Sloek, Chrak Mtes, Bavet, Svay Rieng Province",,,Bat Sloek,Chrak Mtes,Bavet,Svay Rieng Province
"#70D E0E1E2, St.352A, Phum 4, Chrang Chamreh Ti Muoy, Russey Keo, Phnom Penh Capital",#70D E0E1E2,St.352A,Phum 4,Chrang Chamreh Ti Muoy,Russey Keo,Phnom Penh Capital
"Phum 4, Chrang Chamreh Ti Muoy, Russey Keo, Phnom Penh Capital",,,Phum 4,Chrang Chamreh Ti Muoy,Russey Keo,Phnom Penh Capital
"Chrang Chamreh Ti Muoy, Russey Keo, Phnom Penh Capital",,,,Chrang Chamreh Ti Muoy,Russey Keo,Phnom Penh Capital
"Phum Kha Muoy, Chrang Chamreh Ti Pir, Russey Keo, Phnom Penh Capital",,,Phum Kha Muoy,Chrang Chamreh Ti Pir,Russey Keo,Phnom Penh Capital
"Chrang Chamreh Ti Pir, Russey Keo, Phnom Penh Capital",,,,Chrang Chamreh Ti Pir,Russey Keo,Phnom Penh Capital
"#, St., Boeng, Chreav, Siem Reap, Siemreap Province",#,St.,Boeng,Chreav,Siem Reap,Siemreap Province
"#, St., Chreav, Chreav, Siem Reap, Siemreap Province",#,St.,Chreav,Chreav,Siem Reap,Siemreap Province
"#, St., Chreav, Siem Reap, Siemreap Province",#,St.,,Chreav,Siem Reap,Siemreap Province
"Chreav, Chreav, Siem Reap, Siemreap Province",,,Chreav,Chreav,Siem Reap,Siemreap Province
"Khnar, Chreav, Siem Reap, Siemreap Province",,,Khnar,Chreav,Siem Reap,Siemreap Province
"Chreav, Siem Reap, Siemreap Province",,,,Chreav,Siem Reap,Siemreap Province
"Chrey, Thma Koul, Battambang Province",,,,Chrey,Thma Koul,Battambang Province
"Chrey Bak, Rolea B'ier, Kampong Chhnang Province",,,,Chrey Bak,Rolea B'ier,Kampong Chhnang Province
"Chrey Vien, Prey Chhor, Kampong Cham Province",,,,Chrey Vien,Prey Chhor,Kampong Cham Province
"St.N.6, Chroab, Santuk, Kampong Thom Province",,St.N.6,,Chroab,Santuk,Kampong Thom Province
"#107A, St.keo chinda, Chrouy Changvar, Chraoy Chongvar, Phnom Penh Capital",#107A,St.keo chinda,,Chrouy Changvar,Chraoy Chongvar,Phnom Penh Capital
"#1, Phum 3, Chrouy Changvar, Chraoy Chongvar, Phnom Penh Capital",#1,,Phum 3,Chrouy Changvar,Chraoy Chongvar,Phnom Penh Capital
"Chrouy Changvar, Chraoy Chongvar, Phnom Penh Capital",,,,Chrouy Changvar,Chraoy Chongvar,Phnom Penh Capital
"St.33, Trapeang Thum, Chum Kriel, Tuek Chhou, Kampot Province",,St.33,Trapeang Thum,Chum Kriel,Tuek Chhou,Kampot Province
"#, St., Trach Khpos, Chumpu Proeks, Odongk, Kampong Speu Province",#,St.,Trach Khpos,Chumpu Proeks,Odongk,Kampong Speu Province
"Ta Koch, Daeum Rues, Kandal Stueng, Kandal Province",,,Ta Koch,Daeum Rues,Kandal Stueng,Kandal Province
"Pou, Damnak Reang, Odongk, Kampong Speu Province",,,Pou,Damnak Reang,Odongk,Kampong Speu Province
"St.National Road N6, Ballangk  Kaeut, Damrei Choan Khla, Stueng Saen, Kampong Thom Province",,St.National Road N6,Ballangk  Kaeut,Damrei Choan Khla,Stueng Saen,Kampong Thom Province
"St.National Road N6, Ballangk Lech, Damrei Choan Khla, Stueng Saen, Kampong Thom Province",,St.National Road N6,Ballangk Lech,Damrei Choan Khla,Stueng Saen,Kampong Thom Province
"Pou Bak Ka, Damrei Choan Khla, Stueng Saen, Kampong Thom Province",,,Pou Bak Ka,Damrei Choan Khla,Stueng Saen,Kampong Thom Province
"#20B, St.Betong, Mol, Dangkao, Dangkao, Phnom Penh Capital",#20B,St.Betong,Mol,Dangkao,Dangkao,Phnom Penh Capital
"#35, St.03, Mol, Dangkao, Dangkao, Phnom Penh Capital",#35,St.03,Mol,Dangkao,Dangkao,Phnom Penh Capital
"#08E, St.03A, Mol, Dangkao, Dangkao, Phnom Penh Capital",#08E,St.03A,Mol,Dangkao,Dangkao,Phnom Penh Capital
"#194B, St.8B, Mol, Dangkao, Dangkao, Phnom Penh Capital",#194B,St.8B,Mol,Dangkao,Dangkao,Phnom Penh Capital
"#08E, St.3A, Mol, Dangkao, Dangkao, Phnom Penh Capital",#08E,St.3A,Mol,Dangkao,Dangkao,Phnom Penh Capital
"#02c, St.25 E0, Sambuor, Dangkao, Dangkao, Phnom Penh Capital",#02c,St.25 E0,Sambuor,Dangkao,Dangkao,Phnom Penh Capital
"#10BE0, St.Betong, Sambuor, Dangkao, Dangkao, Phnom Penh Capital",#10BE0,St.Betong,Sambuor,Dangkao,Dangkao,Phnom Penh Capital
"#114E0, St.01, Sambuor, Dangkao, Dangkao, Phnom Penh Capital",#114E0,St.01,Sambuor,Dangkao,Dangkao,Phnom Penh Capital
"#25D, St.06, Sambuor, Dangkao, Dangkao, Phnom Penh Capital",#25D,St.06,Sambuor,Dangkao,Dangkao,Phnom Penh Capital
"#D-31, St.06, Sambuor, Dangkao, Dangkao, Phnom Penh Capital",#D-31,St.06,Sambuor,Dangkao,Dangkao,Phnom Penh Capital
"#45Eo, St.Betong, Sambuor, Dangkao, Dangkao, Phnom Penh Capital",#45Eo,St.Betong,Sambuor,Dangkao,Dangkao,Phnom Penh Capital
"#11AE0, St.BT, Sambuor, Dangkao, Dangkao, Phnom Penh Capital",#11AE0,St.BT,Sambuor,Dangkao,Dangkao,Phnom Penh Capital
"#04E, St.08, Sambuor, Dangkao, Dangkao, Phnom Penh Capital",#04E,St.08,Sambuor,Dangkao,Dangkao,Phnom Penh Capital
"#None, St.None, Thmei, Dangkao, Dangkao, Phnom Penh Capital",#None,St.None,Thmei,Dangkao,Dangkao,Phnom Penh Capital
"#, St., Dangkao, Dangkao, Phnom Penh Capital",#,St.,,Dangkao,Dangkao,Phnom Penh Capital
"#22, St.09, Dangkao, Dangkao, Phnom Penh Capital",#22,St.09,,Dangkao,Dangkao,Phnom Penh Capital
"Khva, Dangkao, Dangkao, Phnom Penh Capital",,,Khva,Dangkao,Dangkao,Phnom Penh Capital
"Mol, Dangkao, Dangkao, Phnom Penh Capital",,,Mol,Dangkao,Dangkao,Phnom Penh Capital
"Sambuor, Dangkao, Dangkao, Phnom Penh Capital",,,Sambuor,Dangkao,Dangkao,Phnom Penh Capital
"Dangkao, Dangkao, Phnom Penh Capital",,,,Dangkao,Dangkao,Phnom Penh Capital
"St.NR7, Dar, Memot, Tboung Khmum Province",,St.NR7,,Dar,Memot,Tboung Khmum Province
"Dei Edth Kaoh Phos, Dei Edth, Kien Svay, Kandal Province",,,Dei Edth Kaoh Phos,Dei Edth,Kien Svay,Kandal Province
"Doeum Mien, Ta Khmau, Kandal Province",,,,Doeum Mien,Ta Khmau,Kandal Province
"#N/A, St.PR222, Krouch Saeuch, Hanchey, Kampong Siem, Kampong Cham Province",#N/A,St.PR222,Krouch Saeuch,Hanchey,Kampong Siem,Kampong Cham Province
"Kaeng Sann, Ka Laeng, Lumphat, Ratanak Kiri Province",,,Kaeng Sann,Ka Laeng,Lumphat,Ratanak Kiri Province
"Kaev Krasang, Kaeb, Kaeb, Kep Province",,,Kaev Krasang,Kaeb,Kaeb,Kep Province
"Kaeb, Kaeb, Kep Province",,,,Kaeb,Kaeb,Kep Province
"#, St., Kouk Ruessei, Kaev Poar, Puok, Siemreap Province",#,St.,Kouk Ruessei,Kaev Poar,Puok,Siemreap Province
"#168A, Ta Nguon 2, Kakab 1, Pur SenChey, Phnom Penh Capital",#168A,,Ta Nguon 2,Kakab 1,Pur SenChey,Phnom Penh Capital
"#, St., Kakab 1, Pur SenChey, Phnom Penh Capital",#,St.,,Kakab 1,Pur SenChey,Phnom Penh Capital
"Kakab 1, Pur SenChey, Phnom Penh Capital",,,,Kakab 1,Pur SenChey,Phnom Penh Capital
"#NA, St.NA, Kakab, Kakab 2, Pur SenChey, Phnom Penh Capital",#NA,St.NA,Kakab,Kakab 2,Pur SenChey,Phnom Penh Capital
"#Vacant Land, St.Street Concrete, Kakab 2, Pur SenChey, Phnom Penh Capital",#Vacant Land,St.Street Concrete,,Kakab 2,Pur SenChey,Phnom Penh Capital
"Kbal Damrei 2, Kakab 2, Pur SenChey, Phnom Penh Capital",,,Kbal Damrei 2,Kakab 2,Pur SenChey,Phnom Penh Capital
"Prey Sala, Kakab 2, Pur SenChey, Phnom Penh Capital",,,Prey Sala,Kakab 2,Pur SenChey,Phnom Penh Capital
"St.8m, Kakab 2, Pur SenChey, Phnom Penh Capital",,St.8m,,Kakab 2,Pur SenChey,Phnom Penh Capital
"Kakab 2, Pur SenChey, Phnom Penh Capital",,,,Kakab 2,Pur SenChey,Phnom Penh Capital
"Sala Santuk, Kakaoh, Santuk, Kampong Thom Province",,,Sala Santuk,Kakaoh,Santuk,Kampong Thom Province
"#39, St.14, Kamboul, Kamboul, Kamboul, Phnom Penh Capital",#39,St.14,Kamboul,Kamboul,Kamboul,Phnom Penh Capital
"#17, St.09A, Kamboul, Kamboul, Kamboul, Phnom Penh Capital",#17,St.09A,Kamboul,Kamboul,Kamboul,Phnom Penh Capital
"#E25, St.Betong, Tuol Ta Lat, Kamboul, Kamboul, Phnom Penh Capital",#E25,St.Betong,Tuol Ta Lat,Kamboul,Kamboul,Phnom Penh Capital
"#H24, St.0, Tuol Ta Lat, Kamboul, Kamboul, Phnom Penh Capital",#H24,St.0,Tuol Ta Lat,Kamboul,Kamboul,Phnom Penh Capital
"#25, St.9A, Kamboul, Kamboul, Phnom Penh Capital",#25,St.9A,,Kamboul,Kamboul,Phnom Penh Capital
"Ta Sek, Kamboul, Kamboul, Phnom Penh Capital",,,Ta Sek,Kamboul,Kamboul,Phnom Penh Capital
"Kamboul, Kamboul, Phnom Penh Capital",,,,Kamboul,Kamboul,Phnom Penh Capital
"A Chen, Kampong Cham, Sambour, Kratie Province",,,A Chen,Kampong Cham,Sambour,Kratie Province
"Kampong Chen Tboung, Stoung, Kampong Thom Province",,,,Kampong Chen Tboung,Stoung,Kampong Thom Province
"Tuol Kralanh, Kampong Chhnang, Kampong Chhnang, Kampong Chhnang Province",,,Tuol Kralanh,Kampong Chhnang,Kampong Chhnang,Kampong Chhnang Province
"Stueng Saen, Kampong Krabau, Stueng Saen, Kampong Thom Province",,,Stueng Saen,Kampong Krabau,Stueng Saen,Kampong Thom Province
"Kampong Kraeng, Tuek Chhou, Kampot Province",,,,Kampong Kraeng,Tuek Chhou,Kampot Province
